# Q_GeV  x  xD_D0(x,Q2)  D_D0(x,Q2)
   10.0000    0.45825E+00    0.48658E+00    0.10618E+01
   10.0000    0.51282E+00    0.58757E+00    0.11458E+01
   10.0000    0.57388E+00    0.69528E+00    0.12115E+01
   10.0000    0.64221E+00    0.78316E+00    0.12195E+01
   10.0000    0.71867E+00    0.78443E+00    0.10915E+01
   10.0000    0.80424E+00    0.58664E+00    0.72943E+00
   10.0000    0.90000E+00    0.18946E+00    0.21052E+00
   30.0000    0.10000E-01    0.41014E-01    0.41014E+01
   30.0000    0.11191E-01    0.40451E-01    0.36147E+01
   30.0000    0.12523E-01    0.39991E-01    0.31934E+01
   30.0000    0.14014E-01    0.39631E-01    0.28279E+01
   30.0000    0.15683E-01    0.39389E-01    0.25116E+01
   30.0000    0.17550E-01    0.39273E-01    0.22378E+01
   30.0000    0.19640E-01    0.39298E-01    0.20009E+01
   30.0000    0.21978E-01    0.39481E-01    0.17964E+01
   30.0000    0.24595E-01    0.39841E-01    0.16199E+01
   30.0000    0.27524E-01    0.40398E-01    0.14678E+01
   30.0000    0.30801E-01    0.41186E-01    0.13372E+01
   30.0000    0.34468E-01    0.42223E-01    0.12250E+01
   30.0000    0.38572E-01    0.43564E-01    0.11294E+01
   30.0000    0.43165E-01    0.45229E-01    0.10478E+01
   30.0000    0.48304E-01    0.47298E-01    0.97916E+00
   30.0000    0.54056E-01    0.49802E-01    0.92132E+00
   30.0000    0.60492E-01    0.52843E-01    0.87356E+00
   30.0000    0.67694E-01    0.56491E-01    0.83449E+00
   30.0000    0.75755E-01    0.60859E-01    0.80338E+00
   30.0000    0.84774E-01    0.66078E-01    0.77945E+00
   30.0000    0.94868E-01    0.72300E-01    0.76211E+00
   30.0000    0.10616E+00    0.79716E-01    0.75088E+00
   30.0000    0.11880E+00    0.88565E-01    0.74547E+00
   30.0000    0.13295E+00    0.99112E-01    0.74548E+00
   30.0000    0.14878E+00    0.11173E+00    0.75100E+00
   30.0000    0.16650E+00    0.12682E+00    0.76169E+00
   30.0000    0.18632E+00    0.14492E+00    0.77781E+00
   30.0000    0.20850E+00    0.16665E+00    0.79926E+00
   30.0000    0.23333E+00    0.19277E+00    0.82618E+00
   30.0000    0.26111E+00    0.22422E+00    0.85872E+00
   30.0000    0.29220E+00    0.26200E+00    0.89666E+00
   30.0000    0.32699E+00    0.30733E+00    0.93986E+00
   30.0000    0.36593E+00    0.36123E+00    0.98717E+00
   30.0000    0.40950E+00    0.42444E+00    0.10365E+01
   30.0000    0.45825E+00    0.49634E+00    0.10831E+01
   30.0000    0.51282E+00    0.57311E+00    0.11176E+01
   30.0000    0.57388E+00    0.64354E+00    0.11214E+01
   30.0000    0.64221E+00    0.68087E+00    0.10602E+01
   30.0000    0.71867E+00    0.63174E+00    0.87903E+00
   30.0000    0.80424E+00    0.42917E+00    0.53363E+00
   30.0000    0.90000E+00    0.12096E+00    0.13440E+00
   91.1900    0.10000E-01    0.66803E-01    0.66803E+01
   91.1900    0.11191E-01    0.65332E-01    0.58381E+01
   91.1900    0.12523E-01    0.64006E-01    0.51110E+01
   91.1900    0.14014E-01    0.62839E-01    0.44840E+01
   91.1900    0.15683E-01    0.61842E-01    0.39433E+01
   91.1900    0.17550E-01    0.61028E-01    0.34774E+01
   91.1900    0.19640E-01    0.60414E-01    0.30761E+01
   91.1900    0.21978E-01    0.60018E-01    0.27308E+01
   91.1900    0.24595E-01    0.59859E-01    0.24338E+01
   91.1900    0.27524E-01    0.59970E-01    0.21788E+01
   91.1900    0.30801E-01    0.60368E-01    0.19600E+01
   91.1900    0.34468E-01    0.61103E-01    0.17728E+01
   91.1900    0.38572E-01    0.62201E-01    0.16126E+01
   91.1900    0.43165E-01    0.63723E-01    0.14763E+01
   91.1900    0.48304E-01    0.65717E-01    0.13605E+01
   91.1900    0.54056E-01    0.68251E-01    0.12626E+01
   91.1900    0.60492E-01    0.71410E-01    0.11805E+01
   91.1900    0.67694E-01    0.75277E-01    0.11120E+01
   91.1900    0.75755E-01    0.79974E-01    0.10557E+01
   91.1900    0.84774E-01    0.85626E-01    0.10100E+01
   91.1900    0.94868E-01    0.92394E-01    0.97392E+00
   91.1900    0.10616E+00    0.10047E+00    0.94636E+00
   91.1900    0.11880E+00    0.11007E+00    0.92647E+00
   91.1900    0.13295E+00    0.12147E+00    0.91366E+00
   91.1900    0.14878E+00    0.13499E+00    0.90734E+00
   91.1900    0.16650E+00    0.15101E+00    0.90699E+00
   91.1900    0.18632E+00    0.16999E+00    0.91236E+00
   91.1900    0.20850E+00    0.19242E+00    0.92288E+00
   91.1900    0.23333E+00    0.21895E+00    0.93838E+00
   91.1900    0.26111E+00    0.25019E+00    0.95817E+00
   91.1900    0.29220E+00    0.28684E+00    0.98167E+00
   91.1900    0.32699E+00    0.32950E+00    0.10077E+01
   91.1900    0.36593E+00    0.37844E+00    0.10342E+01
   91.1900    0.40950E+00    0.43326E+00    0.10580E+01
   91.1900    0.45825E+00    0.49186E+00    0.10733E+01
   91.1900    0.51282E+00    0.54875E+00    0.10701E+01
   91.1900    0.57388E+00    0.59169E+00    0.10310E+01
   91.1900    0.64221E+00    0.59612E+00    0.92823E+00
   91.1900    0.71867E+00    0.52071E+00    0.72454E+00
   91.1900    0.80424E+00    0.32755E+00    0.40728E+00
   91.1900    0.90000E+00    0.82565E-01    0.91739E-01
